Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,Face Covering Requirements,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
5/23/2020 8:59:17,Mississippi,5/7/2020,State-wide,,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Restaurants were also permitted to allow some customers back inside for dining on May 7. """,https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/23/2020 8:56:58,Missouri,5/3/2020,State-wide,,,Shelter-in-place order lifted,,,,,,Non-essential businesses allowed to operate possibly with extra requirements,"""Stay-at-home order expired on May 3."" and """"Gov. Mike Parson, a Republican, said he would reopen the economy starting May 4. Under the new order, all businesses, including large venues, concerts and movie theaters, are allowed to operate, as long as seating is spaced out to enforce social distancing.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/23/2020 8:55:29,Montana,4/27/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Gov. Steve Bullock, a Democrat, allowed reopening in phases, beginning with houses of worship on April 26, retail stores on April 27 and restaurants and bars on May 4.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/23/2020 8:56:01,Montana,5/4/2020,State-wide,,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Gov. Steve Bullock, a Democrat, allowed reopening in phases, beginning with houses of worship on April 26, retail stores on April 27 and restaurants and bars on May 4.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/23/2020 8:51:26,Nebraska,5/4/2020,Selected counties,,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Gov. Pete Ricketts, a Republican, announced a plan to reopen restaurants and salons in certain regions starting May 4.""",https://www.1011now.com/content/news/Restrictions-being-loosened-in-multiple-counties-in-Nebraska-570378031.html
5/23/2020 8:52:27,Nebraska,5/13/2020,Selected counties,,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Ricketts said on May 13, restrictions will be loosened in Burt, Madison, Cuming, and Stanton counties.""",https://www.1011now.com/content/news/Restrictions-being-loosened-in-multiple-counties-in-Nebraska-570378031.html
5/23/2020 8:53:00,Nebraska,5/18/2020,Selected counties,,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""On May 18, restrictions will be loosened in Fillmore, Gage, Jefferson, Saline, Thayer, Adams, Clay, Nuckolls, Webster, Buffalo, Dawson, Franklin, Gosper, Harlan, Kearney ad Phelps counties.""",https://www.1011now.com/content/news/Restrictions-being-loosened-in-multiple-counties-in-Nebraska-570378031.html
5/23/2020 8:44:53,Nevada,5/1/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Gov. Steve Sisolak announced that the majority of stay-at-home measures would extend until May 15, with certain restrictions being lifted starting on May 1.""",https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state#nevada
5/23/2020 8:45:38,Nevada,5/9/2020,State-wide,,,Shelter-in-place order lifted,Banned gatherings of a certain size,10,Face covering requirements for some workers,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""The state entered Phase 1 of reopening on May 9, allowing some businesses to reopen with strict social distancing requirements. Individuals are encouraged to stay home except for essential activities, and gatherings larger than 10 people remain prohibited. Vulnerable populations should continue to shelter in place.""",https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state#nevada and https://nvhealthresponse.nv.gov/wp-content/uploads/2020/05/Declaration-of-Emergency-Directive-018.Phase-1-Reopening.5-7-20-1.pdf
5/23/2020 8:42:35,New Hampshire,5/4/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Under the revised stay-at-home order, campgrounds can open to New Hampshire residents and at limited capacity beginning May 4.""",https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#new-jersey
5/23/2020 8:43:12,New Hampshire,5/11/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""As of May 11, private and public golf courses can open for residents and club members, in accordance with health guidelines. Barbers and hair salons can start offering limited services by appointment only. Retail locations can open at 50% occupancy and subject to strict guidelines. Drive-in movie theaters can resume operations.""",https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#new-jersey
5/23/2020 8:43:38,New Hampshire,5/18/2020,State-wide,,,,,,,,Bar and dine-in restaurant open with extra requirements,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Restaurants may choose to start offering outdoor seating beginning May 18. They must comply with specific health and safety guidelines.""",https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#new-jersey
5/23/2020 8:40:49,New Jersey,5/13/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Gov. Phil Murphy, a Democrat, has allowed limited reopenings for certain businesses and industries, but the state remains largely locked down. A May 13 executive order permits car gatherings for drive-through and drive-in events, effective immediately. It also allows the resumption of nonessential construction, and curbside pickup at nonessential retail businesses, effective 6:00 a.m. on May 18.""",https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state#new-jersey
5/23/2020 8:22:24,New Mexico,5/16/2020,State-wide,,,,,,Face covering requirements for the public (non-workers) in certain situations,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Houses of worship can operate at 25% capacity. Individuals are required to wear face masks in public settings, effective statewide May 16.""",https://www.npr.org/2020/05/01/847416108/west-coronavirus-related-restrictions-by-state
5/30/2020 10:27:59,New Mexico,5/27/2020,State-wide,,,,,,,,Bar and dine-in restaurant open with extra requirements,,"""Restaurants in most of the state can open limited outdoor dine-in service beginning May 27.""",https://www.npr.org/847416108
5/30/2020 10:28:56,New Mexico,5/6/2020,State-wide,,,,,,Face covering requirements for some workers,,,,"""Beginning May 6, all large grocery and retail spaces, and all restaurants operating curbside and delivery service, must require employees to wear face coverings in the workplace. This order applies to all essential businesses operating as retail space, regardless of size, beginning May 11. """,https://www.npr.org/847416108
5/23/2020 8:08:29,New York,5/15/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Cuomo announced that certain low-risk businesses and recreational activities can resume statewide as of May 15. Those include landscaping and gardening, drive-in movie theaters and low-risk outdoor recreation like tennis.""",https://www.npr.org/2020/05/01/847331283/northeast-coronavirus-related-restrictions-by-state
5/30/2020 10:30:46,New York,4/15/2020,State-wide,,,,,,Face covering requirements for some workers,,,,"""Cuomo ordered all essential businesses to provide face coverings for their employees and ensure workers are wearing them when in direct contact with customers or members of the public, beginning April 15.""",https://www.npr.org/847331283#new-york
5/30/2020 10:33:16,New York,5/27/2020,Selected regions (based on specific metrics),,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""As of May 27, nine out of ten regions are in Phase 1.""",https://www.npr.org/847331283#new-york and https://www.governor.ny.gov/news/amid-ongoing-covid-19-pandemic-governor-cuomo-calls-us-senate-pass-coronavirus-relief-bill
5/23/2020 8:05:33,North Carolina,5/8/2020,State-wide,,,Shelter-in-place order lifted,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Cooper signed an executive order modifying the stay-at-home order and transitioning the state into Phase 1 of easing restrictions, effective 5:00 p.m. on May 8.""",https://www.npr.org/847415273
5/23/2020 8:06:41,North Carolina,5/22/2020,State-wide,,,,Banned gatherings of a certain size,25,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""When North Carolina enters Phase 2 at 5:00 p.m. on May 22, the stay-at-home order will become a ""Safer at Home"" recommendation, especially for vulnerable populations. Gatherings are limited to 10 people indoors and 25 people outdoors in most circumstances. Certain businesses can open at limited capacity, and teleworking is encouraged. The Safer at Home Phase 2 is set to last through at least June 26.""",https://www.npr.org/847415273
5/23/2020 8:01:22,North Dakota,5/1/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Gov. Doug Burgum, a Republican, allowed a variety of businesses to reopen starting May 1.""",https://www.nytimes.com/interactive/2020/us/states-reopen-map-coronavirus.html
5/23/2020 8:02:07,North Dakota,5/9/2020,State-wide,,,,,,,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"""Marinas and boat ramps opened on May 9 and 10. Campgrounds will reopen May 21 for limited-service camping. """,https://www.npr.org/847413697
5/20/2020 13:58:40,Ohio,5/4/2020,State-wide,,,,,,Face covering requirements for some workers,,,Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements,"“On April 27, DeWine announced the first steps of economic reopening. Manufacturing, construction and distribution can reopen starting May 4. General office environments can also reopen that day, but teleworking is encouraged. ”",https://www.npr.org/847413697
