Country_Region,Province_State,Regions,State of emergency declared,Date Enacted,Planned End Date,Actual End Date,Measure Called,Type,Comments,Leaving Residence Allowed,K-12 School Closure,Non-essential Business Closure,Non-essential Retail Closure,Bar/Sitdown-restaurant Closure,Out-of-state travel restrictions,Gathering banned,Gathering (deprecated),Reference,Reference,,Coding,Definition
United States,Massachusetts,All,03-10-2020,03-24-2020,04-07-2020,,Stay at home advisory,Level 1 Lockdown,Advise to stay home,Some Restriction,Temporary,Yes,Yes,Yes,Mandatory quarantine,11 or more,,,,,,
United States,Michigan,All,03-11-2020,03-24-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Entire Semester,Yes,Yes,Yes,No,All,,https://www.freep.com/story/news/local/michigan/2020/03/23/michigan-shelter-in-place-order-coronavirus/2887578001/,,,,
United States,Minnesota,All,03-13-2020,03-27-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,,https://mn.gov/governor/covid-19/faq/,,,,
United States,Montana,All,03-12-2020,03-28-2020,04-10-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,10 or more,6 feet apart except household,https://covid19.mt.gov/Portals/223/Documents/Stay%20at%20Home%20Directive.pdf?ver=2020-03-26-173332-177,,,,
United States,New Hampshire,All,03-13-2020,03-27-2020,05-04-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,Mandatory quarantine,50 or more,6 feet apart,https://www.governor.nh.gov/news-media/emergency-orders/documents/emergency-order-17-1.pdf,,,,
United States,New Jersey,All,03-09-2020,03-21-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,6 feet apart,https://nj.gov/infobank/eo/056murphy/pdf/EO-107.pdf,,,,
United States,New Mexico,All,03-11-2020,03-24-2020,04-30-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Entire Semester,Yes,Yes,Yes,No,6 or more,6 feet apart,https://www.krqe.com/health/coronavirus-resources/faq-what-you-need-to-know-about-the-new-mexico-stay-at-home-order/,,,,
United States,New York,All,03-07-2020,03-22-2020,04-15-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,,https://wskg.org/news/new-york-extends-stay-at-home-order-through-april-15/,,,,
United States,North Carolina,All,03-10-2020,03-30-2020,04-29-2020,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,,https://www.wavy.com/news/health/coronavirus/stay-at-home-order-takes-effect-monday-in-north-carolina/,,,,
United States,Ohio,All,03-09-2020,03-23-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Restricted,No,All,,https://www.dispatch.com/news/20200322/coronavirus-ohio-issues-stay-at-home-order-allows-only-essential-businesses-and-day-cares-at-6-children-per-room,,,,
United States,Oregon,All,03-08-2020,03-23-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,All,,https://govsite-assets.s3.amazonaws.com/jkAULYKcSh6DoDF8wBM0_EO%2020-12.pdf,,,,
United States,Pennsylvania,All,03-06-2020,04-01-2020,,,Stay at home,Level 2 Lockdown,,Only for Essential,Temporary,Yes,Yes,Yes,No,10 or more (recommended),,,,,,
United States,Puerto Rico,All,03-12-2020,03-15-2020,04-12-2020,,Curfew,Level 3 Lockdown,Only for Essential + curfew,Only for Essential,Temporary,Yes,Yes,Yes,Screened,All,,https://www.voanews.com/science-health/coronavirus-outbreak/puerto-rico-extends-coronavirus-curfew,,,,
