State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference
Hawaii,State-wide,Hawaii,3/25/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 23, Governor David Ige issued a stay-at-home order effective March 25 through April 30.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,1415872,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769936
Hawaii,State-wide,Hawaii,3/16/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,"March 16: Governor David Ige announced that spring break for public schools in Hawaii would be extended for an additional week in order to give school administrators time to evaluate recommendations for stopping the spread of the virus. and ""On March 18,",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,2020-04-11,1415872,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769937
Hawaii,State-wide,Hawaii,3/4/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"On March 4, Governor David Ige declared a state of emergency until April 29.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,1415872,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769938
Hawaii,Regional,Honolulu,3/19/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),NA,"The same day, Honolulu City Mayor Kirk Caldwell announced efforts to curb the spread of the virus, including the closures of parks and a 15-day ban on dining in, at restaurants and bars. and ""Similar measures were announced by Mayor Michael Victorino for",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,2020-04-11,974563,https://www.census.gov/quickfacts/honolulucountyhawaii
Hawaii,Regional,Honolulu,3/22/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 22, Honolulu County issued a stay-at-home order effective until April 30",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,974563,https://www.census.gov/quickfacts/honolulucountyhawaii
Hawaii,Regional,Kauai,3/20/20,NA,Border closures,Night-time curfew,NA,NA,NA,NA,NA,Kauai County announced a nighttime curfew effective March 20 and a limit on airline travel to essential needs until further notice.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,2020-04-11,72293,https://www.census.gov/quickfacts/fact/table/kauaicountyhawaii/IPE120218
Hawaii,Regional,Maui,3/19/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),NA,"The same day, Honolulu City Mayor Kirk Caldwell announced efforts to curb the spread of the virus, including the closures of parks and a 15-day ban on dining in, at restaurants and bars. and ""Similar measures were announced by Mayor Michael Victorino for",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii,2020-04-11,167417,https://www.census.gov/quickfacts/mauicountyhawaii
Idaho,State-wide,Idaho,3/23/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,"On March 23, the Idaho State Board of Education directed all public school districts to start a “soft closure” of all classroom facilities immediately, to continue through April 20.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,1787065,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769939
Idaho,State-wide,Idaho,3/25/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 25, Idaho Governor Brad Little issued a stay-at-home order for the entire state, effective for 21 days.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,1787065,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769940
Idaho,State-wide,Idaho,3/13/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"On March 13, Governor Brad Little announced a state of emergency on the state.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,1787065,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769941
Idaho,Regional,Blaine,3/17/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 17, Blaine County imposed a stay-at-home order effective until April 6.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,23021,https://www.census.gov/quickfacts/fact/table/blainecountyidaho/PST120218
Illinois,State-wide,Illinois,3/16/20,NA,NA,NA,Banned gatherings of a certain size,50,NA,NA,NA,"On March 16, Governor Pritzker announced that all gatherings of 50 or more people will be canceled in accordance with new CDC guidelines.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,2020-04-11,12671821,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769942
Illinois,State-wide,Illinois,3/17/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,All schools in Illinois will be closed for two weeks starting March 17.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,12671821,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769943
Illinois,State-wide,Illinois,3/9/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"On March 9, Governor J. B. Pritzker issued a disaster proclamation, the state's equivalent to a state of emergency, as four new cases were announced in the state.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,2020-04-11,12671821,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769944
Illinois,State-wide,Illinois,3/15/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 15, Governor Pritzker announced that all bars and restaurants will be closed until March 30 as to [enforce] and [preserve] the safety and health of all residents of Illinois.""""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,2020-04-11,12671821,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769945
Illinois,State-wide,Illinois,3/21/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 20, Governor Pritzker announced a statewide stay-at-home order starting on March 21 until April 7, 2020.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response,2020-04-11,12671821,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769946
Indiana,State-wide,Indiana,3/6/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"On March 6, Governor Eric Holcomb declared a public health emergency due to the first positive Indiana case.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,6732219,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769947
Indiana,State-wide,Indiana,3/16/20,NA,NA,NA,NA,NA,NA,Bar and dine-in restaurant closed (except take-out and delivery),NA,Holcomb announced the closure of all bars and restaurants statewide to in-person service on March 16.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,6732219,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769948
Indiana,State-wide,Indiana,3/19/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,"All K-12 schools (both public and private) were to remain closed until at least May 1, and all state-mandated standardized tests were canceled.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Indiana,2020-04-11,6732219,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769949
Indiana,State-wide,Indiana,3/25/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 23, Holcomb announced statewide stay-at-home order effective March 25.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,6732219,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769950
Iowa,State-wide,Iowa,3/15/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,March 15 – Governor Reynolds recommends closing schools for four weeks.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,3155070,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769951
Iowa,State-wide,Iowa,3/9/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,March 9 – Proclamation of Disaster Emergency signed by Governor Kim Reynolds,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,3155070,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769952
Kansas,State-wide,Kansas,3/16/20,NA,NA,NA,Banned gatherings of a certain size,50,NA,NA,NA,"On March 16, Kelly also announced a ban on gatherings of 50 or more people.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,2913314,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769953
Kansas,State-wide,Kansas,3/30/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 28, Governor Laura Kelly issued a statewide stay-home order"", effective March 30 until April 19 at the earliest""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,2913314,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769954
Kansas,State-wide,Kansas,3/15/20,NA,NA,NA,NA,NA,Schools closed,NA,NA,"On March 15, Governor Laura Kelly recommends closing schools for a week. and ""Several schools across the state (but none in Wichita) suspend classes for the rest of the month""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,2913314,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769955
Kansas,State-wide,Kansas,3/12/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"On March 12, Governor Laura Kelly has issued an emergency declaration for the State of Kansas",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,2913314,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769956
Kansas,Regional,Atchison,3/25/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 24, Atchison County issued a shelter-at-home order"" effective March 25 to April 25."" and ""Morris County issued a stay-at-home order effective March 25 until April 25."" and ""Sedgwick County issued a stay-at-home order effective March 25. """,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,16073,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770152
Kansas,Regional,Chase,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Osage County issued a stay-at-home order effective March 28 until further notice. and ""Jefferson County issued a stay-at-home order effective March 28 until April 14."" and ""Chase County issued a stay-at-home order effective March 28 for 30 days.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,2648,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770153
Kansas,Regional,Coffey,3/26/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Doniphan and Shawnee counties issued stay-at-home orders effective March 26. and  ""On March 25, Lyon County issued a stay-at-home order effective March 26 until April 25."" and ""Coffey County issued a stay-at-home order effective March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,8179,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770154
Kansas,Regional,Doniphan,3/26/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Doniphan and Shawnee counties issued stay-at-home orders effective March 26. and  ""On March 25, Lyon County issued a stay-at-home order effective March 26 until April 25."" and ""Coffey County issued a stay-at-home order effective March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,7600,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770155
Kansas,Regional,Douglas,3/24/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,Douglas County issued an order effective March 24 until April 23 at the earliest,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,122259,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770156
Kansas,Regional,Jackson,3/17/20,NA,NA,NA,Banned gatherings of a certain size,10,NA,Bar and dine-in restaurant closed (except take-out and delivery),NA,"Johnson County, Kansas and the Unified Government of Wyandotte County, Kansas and Kansas City, Kansas, partnering with local governments in Missouri; Jackson County, Missouri and Kansas City, Missouri, announced a ban on gatherings of over 10 people, effe",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas,2020-04-11,13171,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770157
Kansas,Regional,Jefferson,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Osage County issued a stay-at-home order effective March 28 until further notice. and ""Jefferson County issued a stay-at-home order effective March 28 until April 14."" and ""Chase County issued a stay-at-home order effective March 28 for 30 days.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,19043,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770158
Kansas,Regional,Johnson,3/22/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Johnson, Wyandotte, and Leavenworth counties imposed stay-at-home orders on March 22.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,602401,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770159
Kansas,Regional,Johnson,3/17/20,NA,NA,NA,Banned gatherings of a certain size,10,NA,Bar and dine-in restaurant closed (except take-out and delivery),NA,"Johnson County, Kansas and the Unified Government of Wyandotte County, Kansas and Kansas City, Kansas, partnering with local governments in Missouri; Jackson County, Missouri and Kansas City, Missouri, announced a ban on gatherings of over 10 people, effe",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas,2020-04-11,602401,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770160
Kansas,Regional,Lyon,3/26/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Doniphan and Shawnee counties issued stay-at-home orders effective March 26. and  ""On March 25, Lyon County issued a stay-at-home order effective March 26 until April 25."" and ""Coffey County issued a stay-at-home order effective March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,33195,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770161
Kansas,Regional,Miami,3/25/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 24, Atchison County issued a shelter-at-home order"" effective March 25 to April 25."" and ""Morris County issued a stay-at-home order effective March 25 until April 25."" and ""Sedgwick County issued a stay-at-home order effective March 25. """,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,34237,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770162
Kansas,Regional,Morris,3/25/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 24, Atchison County issued a shelter-at-home order"" effective March 25 to April 25."" and ""Morris County issued a stay-at-home order effective March 25 until April 25."" and ""Sedgwick County issued a stay-at-home order effective March 25. """,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,5620,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770163
Kansas,Regional,Osage,3/28/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Osage County issued a stay-at-home order effective March 28 until further notice. and ""Jefferson County issued a stay-at-home order effective March 28 until April 14."" and ""Chase County issued a stay-at-home order effective March 28 for 30 days.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,15949,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770164
Kansas,Regional,Sedgwick,3/25/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 24, Atchison County issued a shelter-at-home order"" effective March 25 to April 25."" and ""Morris County issued a stay-at-home order effective March 25 until April 25."" and ""Sedgwick County issued a stay-at-home order effective March 25. """,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,516042,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770165
Kansas,Regional,Shawnee,3/26/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Doniphan and Shawnee counties issued stay-at-home orders effective March 26. and  ""On March 25, Lyon County issued a stay-at-home order effective March 26 until April 25."" and ""Coffey County issued a stay-at-home order effective March 26.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,176875,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770166
Kansas,Regional,Sumner,3/27/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 26, Sumner County issued a stay-at-home order effective March 27 through April 25.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,22836,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770167
Kansas,Regional,Wyandotte,3/22/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Johnson, Wyandotte, and Leavenworth counties imposed stay-at-home orders on March 22.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,165429,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770168
Kansas,Regional,Leavenworth,3/22/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"Johnson, Wyandotte, and Leavenworth counties imposed stay-at-home orders on March 22.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,81758,https://www.census.gov/quickfacts/leavenworthcountykansas
Kansas,Regional,Kansas City,3/17/20,NA,NA,NA,Banned gatherings of a certain size,10,NA,Bar and dine-in restaurant closed (except take-out and delivery),NA,"Johnson County, Kansas and the Unified Government of Wyandotte County, Kansas and Kansas City, Kansas, partnering with local governments in Missouri; Jackson County, Missouri and Kansas City, Missouri, announced a ban on gatherings of over 10 people, effe",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Kansas,2020-04-11,152958,https://www.census.gov/quickfacts/kansascitycitykansas
Kentucky,State-wide,Kentucky,3/6/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"March 6 – Governor Andy Beshear declared a state of emergency, also confirming the state's first COVID-19 case.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,4467673,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769957
Kentucky,State-wide,Kentucky,3/23/20,NA,NA,NA,NA,NA,NA,NA,Non-essential businesses closed,March 22 – Beshear announced the closure of all nonessential businesses in the state as of March 23.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,4467673,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769958
Kentucky,State-wide,Kentucky,3/17/20,NA,NA,NA,NA,NA,NA,NA,Some (cherry-picked) businesses closed,"March 17 – Beshear announced the closure of all public-facing businesses that do not provide a specific set of essential services"", effective at 5:00 pm on March 18. Among the businesses required to close were community centers, hair salons, spas, gyms,",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic and https://wfpl.org/live-coverage-coronavirus-in-the-louisville-area/,2020-04-11,4467673,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769959
Kentucky,State-wide,Kentucky,4/1/20,NA,"Travel restrictions for out of state travelers, Border closures",NA,NA,NA,NA,NA,NA,April 1 – Gov. Beshear ordered Kentucky residents not to leave the state and imposed a 14-day self-quarantine on those who return from out of state.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,4467673,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769960
Kentucky,State-wide,Kentucky,3/16/20,NA,NA,NA,NA,NA,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"March 16 – Beshear announced the closure of in-person service at bars and restaurants. Delivery, take-out, and drive-through service will still be available. and ""5:43 p.m.: Gov. Andy Beshear recommended closing all schools across the state – public a",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,4467673,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769961
Louisiana,State-wide,Louisiana,3/11/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,See table,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,4648794,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769962
Louisiana,State-wide,Louisiana,3/23/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,A statewide order was later issued effective March 23.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,4648794,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769963
Louisiana,State-wide,Louisiana,3/16/20,NA,NA,NA,Banned gatherings of a certain size,50,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Governor John Bel Edwards closed schools statewide on March 16, 2020, restricted most businesses to takeout and delivery only, postponed presidential primaries, and placed limitations on large gatherings.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Louisiana#Government_response and https://gov.louisiana.gov/order/,2020-04-11,4648794,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769964
Louisiana,Regional,New Orleans,3/20/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,New Orleans issued a stay-at-home order effective March 20.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,391006,https://www.census.gov/quickfacts/neworleanscitylouisiana
Maine,State-wide,Maine,3/31/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 31, Governor Mills issued a statewide stay-at-home order effective April 2 until April 30.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,1344212,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769965
Maine,State-wide,Maine,3/15/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"On March 15, Governor Janet Mills declared a state of emergency in Maine.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,1344212,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769966
Maine,Regional,Brunswick,3/23/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 23, Brunswick issued a shelter-in-place order effective for seven days.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,295003,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770169
Maine,Regional,City of Portland,3/25/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 24, the City of Portland announced that the manager has signed a stay-at-home order beginning on March 25 for all non-essential businesses and services in Portland, with a potential end date on April 27.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maine,2020-04-11,66417,https://www.census.gov/quickfacts/portlandcitymaine
Maine,Regional,City of South Portland,3/26/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 26, South Portland issued a stay-at-home order effective March 27.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,25606,https://www.census.gov/quickfacts/southportlandcitymaine
Maryland,State-wide,Maryland,3/5/20,State of Emergency declared,NA,NA,NA,NA,NA,NA,NA,"On March 5, Governor Larry Hogan declared a state of emergency after the first three cases of coronavirus were confirmed in the state.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,6045680,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769967
Maryland,State-wide,Maryland,3/30/20,NA,NA,Shelter-in-place order,NA,NA,NA,NA,NA,"On March 30, Governor Hogan issued a statewide stay-at-home order effective March 30 until the end of the state of emergency.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,6045680,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769968
Maryland,State-wide,Maryland,3/12/20,NA,NA,NA,Banned gatherings of a certain size,250,NA,NA,NA,"On March 12, Governor Hogan declared all Maryland public schools were to be closed from March 16 through April 24, gatherings of more than 250 people were banned, and the Maryland National Guard was activated to a higher state of readiness.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,6045680,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769969
Maryland,State-wide,Maryland,3/16/20,NA,NA,NA,Banned gatherings of a certain size,50,Schools closed,Bar and dine-in restaurant closed (except take-out and delivery),NA,"On March 16, Governor Hogan signed an executive order banning gatherings of over 50 people as recommended by the CDC. and ""On March 12, Governor Hogan declared all Maryland public schools were to be closed from March 16 through April 24, "" and ""On March 1",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Maryland#Government_response,2020-04-11,6045680,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769970
Maryland,State-wide,Maryland,3/23/20,NA,NA,NA,NA,NA,NA,NA,Non-essential businesses closed,"On March 23, Governor Larry Hogan ordered all non-essential businesses in the state to close effective at 5 p.m. Monday to prevent further spread of COVID-19.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,6045680,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769971
Maryland,State-wide,Maryland,3/15/20,NA,NA,NA,NA,NA,NA,NA,Some (cherry-picked) businesses closed,"On March 15, Governor Hogan ordered all Maryland casinos, racetracks, and off-track betting parlors to shut down to help prevent the spread of coronavirus.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11,6045680,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769972
