Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/11/2020 11:49:04,Georgia,03-28-2020,"Avondale Estates, Chamblee, Dunwoody,  DeKalb, and Gwinnett",,,Shelter-in-place order,,,,,,"""On March 27, Gwinnett County and all 16 cities and towns in the county jointly issued a stay-at-home order effective March 28 through April 13."" and  ""Avondale Estates issued a shelter-in-place order."" and ""DeKalb County issued a shelter-in-place order effective March 28 until further notice."" and ""On March 28, Chamblee issued a stay-at-home order effective March 28 until further notice."" and ""Dunwoody issued a shelter-in-place order effective March 28.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:50:21,Georgia,03-30-2020,Forest Park,,,Shelter-in-place order,,,,,,"""Forest Park issued a shelter-in-place order effective March 30 through April 13""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:51:30,Georgia,04-01-2020,Clayton and Fulton,,,Shelter-in-place order,,,,,,"""On March 31, Clayton County issued a shelter-in-place order for unincorporated parts of the county effective April 1 through April 12 at the earliest."" and ""On April 1, Fulton County issued a stay-at-home order.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:05:14,Hawaii,03-04-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 4, Governor David Ige declared a state of emergency until April 29.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:05:49,Hawaii,03-21-2020,State-wide,,Travel restrictions for out of state travelers,,,,,,,"""On March 21, Ige ordered a 14-day mandatory quarantine for travelers.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:06:29,Hawaii,03-22-2020,Honolulu,,,Shelter-in-place order,,,,,,"""On March 22, Honolulu County issued a stay-at-home order effective until April 30""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:07:19,Hawaii,03-25-2020,State-wide,,,Shelter-in-place order,,,,,,"""On March 23, Governor David Ige issued a stay-at-home order effective March 25 through April 30.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:09:45,Hawaii,03-16-2020,State-wide,,,,,,Schools closed,,,"""March 16: Governor David Ige announced that spring break for public schools in Hawaii would be extended for an additional week in order to give school administrators time to evaluate recommendations for stopping the spread of the virus."" and ""On March 18, the closures were extended for an additional week.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii
4/11/2020 12:10:42,Hawaii,03-20-2020,Kauai,,Border closures,Night-time curfew,,,,,,"""Kauai County announced a nighttime curfew effective March 20 and a limit on airline travel to essential needs until further notice.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii
4/11/2020 12:12:52,Hawaii,03-19-2020,Honolulu and Maui,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),,"""The same day, Honolulu City Mayor Kirk Caldwell announced efforts to curb the spread of the virus, including the closures of parks and a 15-day ban on dining in, at restaurants and bars."" and ""Similar measures were announced by Mayor Michael Victorino for Maui County, effective from March 20 until May 3.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Hawaii
4/11/2020 12:14:33,Idaho,03-13-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 13, Governor Brad Little announced a state of emergency on the state.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:15:02,Idaho,03-17-2020,Blaine,,,Shelter-in-place order,,,,,,"""On March 17, Blaine County imposed a stay-at-home order effective until April 6.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:15:35,Idaho,03-23-2020,State-wide,,,,,,Schools closed,,,"""On March 23, the Idaho State Board of Education directed all public school districts to start a “soft closure” of all classroom facilities immediately, to continue through April 20.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:16:09,Idaho,03-25-2020,State-wide,,,Shelter-in-place order,,,,,,"""On March 25, Idaho Governor Brad Little issued a stay-at-home order for the entire state, effective for 21 days.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:17:42,Illinois,03-17-2020,State-wide,,,,,,Schools closed,,,"""All schools in Illinois will be closed for two weeks starting March 17.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 12:18:58,Illinois,03-15-2020,State-wide,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),,"""On March 15, Governor Pritzker announced that all bars and restaurants will be closed until March 30 as to ""[enforce] and [preserve] the safety and health of all residents of Illinois.""""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Illinois#Government_response
