,State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference,Coverage.county.FIPS,Coverage.city.FIPS,population_reference.1,Unnamed: 0.1,Face Covering Requirements,Details (if any) 
89,Florida,Regional,Monroe,03-30-2020,,,Shelter-in-place order,,,,,,"Delray Beach issued a shelter-in-place order effective March 30 through April 16. and ""On March 30, Governor DeSantis issued a stay-at-home order for Miami-Dade, Broward, Palm Beach, and Monroe counties in southeast Florida effective until mid-May.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,74228,12.0,87,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770131,,,
90,Florida,Regional,Osceola,03-26-2020,,,Shelter-in-place order,,,,,,"On March 25, Osceola County issued a stay-at-home order effective March 26 until April 9. and  ""Pinellas County issued a ""safer-at-home"" order effective March 26 until April 2."" and ""Parkland issued a shelter-in-place order effective March 26 until furthe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,375751,12.0,97,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770132,,,
91,Florida,Regional,Palm Beach,03-30-2020,,,Shelter-in-place order,,,,,,"Delray Beach issued a shelter-in-place order effective March 30 through April 16. and ""On March 30, Governor DeSantis issued a stay-at-home order for Miami-Dade, Broward, Palm Beach, and Monroe counties in southeast Florida effective until mid-May.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,1496770,12.0,99,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770133,,,
92,Florida,Regional,Pinellas,03-26-2020,,,Shelter-in-place order,,,,,,"On March 25, Osceola County issued a stay-at-home order effective March 26 until April 9. and  ""Pinellas County issued a ""safer-at-home"" order effective March 26 until April 2."" and ""Parkland issued a shelter-in-place order effective March 26 until furthe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,974996,12.0,103,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770134,,,
93,Florida,Regional,Sumter,03-31-2020,,,Shelter-in-place order,,,,,,"On March 31, Sumter County issued a stay-at-home order effective through April 30.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,132420,12.0,119,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770135,,,
94,Florida,Regional,Boca Raton,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,99244,12.0,,7300.0,https://www.census.gov/quickfacts/bocaratoncityflorida,,,
95,Florida,Regional,Coral Springs,03-27-2020,,,Shelter-in-place order,,,,,,"On March 26, Broward County issued a stay-at-home order effective March 27 until further notice. and ""Hillsborough County issued a ""safer-at-home order"" effective March 27"" and ""Coral Springs issued a stay-at-home order effective March 27 until further no",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,133507,12.0,,14400.0,https://www.census.gov/quickfacts/coralspringscityflorida,,,
96,Florida,Regional,Dania Beach,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,32271,12.0,,16335.0,https://www.census.gov/quickfacts/daniabeachcityflorida,,,
97,Florida,Regional,Delray Beach,03-30-2020,,,Shelter-in-place order,,,,,,"Delray Beach issued a shelter-in-place order effective March 30 through April 16. and ""On March 30, Governor DeSantis issued a stay-at-home order for Miami-Dade, Broward, Palm Beach, and Monroe counties in southeast Florida effective until mid-May.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,69358,12.0,,17100.0,https://www.census.gov/quickfacts/delraybeachcityflorida,,,
98,Florida,Regional,Doral,03-25-2020,,,Shelter-in-place order,,,,,,"On March 24, Leon County issued a stay-at-home order and nighttime curfew effective March 25. and ""Doral issued a ""safer-at-home order"" effective March 25 through April 1.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,61824,12.0,,17935.0,https://www.census.gov/quickfacts/doralcityflorida,,,
99,Florida,Regional,Fort Lauderdale,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,182595,12.0,,24000.0,https://www.census.gov/quickfacts/fortlauderdalecityflorida,,,
100,Florida,Regional,Hollywood,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,154823,12.0,,32000.0,https://www.census.gov/quickfacts/hollywoodcityflorida,,,
101,Florida,Regional,Lauderdale-by-the-Sea,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,6680,12.0,,39475.0,https://www.census.gov/quickfacts/lauderdalebytheseatownflorida,,,
102,Florida,Regional,Miami Beach,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Miami Beach issued a stay-at-home order effective March 24. and ""Alachua County issued a stay-at-home order effective March 24 until further notice""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,91718,12.0,,45025.0,https://www.census.gov/quickfacts/fact/table/miamibeachcityflorida/POP060210,,,
103,Florida,Regional,Miramar,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,140823,12.0,,45975.0,https://www.census.gov/quickfacts/miramarcityflorida,,,
104,Florida,Regional,Oakland Park,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,45339,12.0,,50575.0,https://www.census.gov/quickfacts/oaklandparkcityflorida,,,
105,Florida,Regional,Palm Beach,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,1496770,12.0,,54025.0,https://www.census.gov/quickfacts/palmbeachcountyflorida,,,
106,Florida,Regional,Parkland,03-26-2020,,,Shelter-in-place order,,,,,,"On March 25, Osceola County issued a stay-at-home order effective March 26 until April 9. and  ""Pinellas County issued a ""safer-at-home"" order effective March 26 until April 2."" and ""Parkland issued a shelter-in-place order effective March 26 until furthe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,33631,12.0,,55125.0,https://www.census.gov/quickfacts/parklandcityflorida,,,
107,Florida,Regional,Pembroke Pines,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,172374,12.0,,55775.0,https://www.census.gov/quickfacts/parklandcityflorida,,,
108,Florida,Regional,Plantation,03-26-2020,,,Shelter-in-place order,,,,,,"On March 25, Osceola County issued a stay-at-home order effective March 26 until April 9. and  ""Pinellas County issued a ""safer-at-home"" order effective March 26 until April 2."" and ""Parkland issued a shelter-in-place order effective March 26 until furthe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,94228,12.0,,57425.0,https://www.census.gov/quickfacts/plantationcityflorida,,,
109,Florida,Regional,Pompano Beach,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,111954,12.0,,58050.0,https://www.census.gov/quickfacts/fact/table/pompanobeachcityflorida/BZA210217,,,
110,Florida,Regional,Sunny Isles Beach,03-26-2020,,,Shelter-in-place order,,,,,,"On March 25, Osceola County issued a stay-at-home order effective March 26 until April 9. and  ""Pinellas County issued a ""safer-at-home"" order effective March 26 until April 2."" and ""Parkland issued a shelter-in-place order effective March 26 until furthe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,22295,12.0,,69555.0,https://www.census.gov/quickfacts/fact/table/sunnyislesbeachcityflorida/BZA115217,,,
111,Florida,Regional,Weston,03-26-2020,,,Shelter-in-place order,,,,,,"On March 25, Osceola County issued a stay-at-home order effective March 26 until April 9. and  ""Pinellas County issued a ""safer-at-home"" order effective March 26 until April 2."" and ""Parkland issued a shelter-in-place order effective March 26 until furthe",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,71210,12.0,,76582.0,https://www.census.gov/quickfacts/westoncityflorida,,,
112,Florida,Regional,Wilton Manors,03-28-2020,,,Shelter-in-place order,,,,,,"Boca Raton issued a stay-at-home order effective March 28 until further notice. and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsde",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,12797,12.0,,78000.0,https://www.census.gov/quickfacts/wiltonmanorscityflorida,,,
113,Georgia,State-wide,Georgia,04-02-2020,,,Shelter-in-place order,,,,,,"On April 2, a statewide shelter in place order was announced.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,4/11/20,10617423,13.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769931,,,
114,Georgia,State-wide,Georgia,03-13-2020,State of Emergency declared,,,,,,,,"On March 13, the state of emergency is declared.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,10617423,13.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769932,,,
115,Georgia,State-wide,Georgia,03-23-2020,,,,Banned gatherings of a certain size,10.0,,,Some (cherry-picked) businesses closed,"On March 23, gatherings of over 10 people were banned, bars and nightclubs were ordered to close, and a shelter-in-place order for the medically fragile"" was issued""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,4/11/20,10617423,13.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769933,,,
116,Georgia,State-wide,Georgia,03-18-2020,,,,,,Schools closed,,,"ordered on March 16 that all public schools, colleges, and universities in the state close from March 18 through the start of April.",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response,4/11/20,10617423,13.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769934,,,
117,Georgia,Regional,Bartow,03-27-2020,,,Shelter-in-place order,,,,,,"On March 26, Cartersville and surrounding Bartow County issued shelter-in-place orders effective March 27 through April 7. and  ""Doraville issued a shelter-in-place order.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,107738,13.0,15,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770136,,,
118,Georgia,Regional,Carroll,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,119992,13.0,45,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770137,,,
119,Georgia,Regional,Cherokee,03-26-2020,,,Shelter-in-place order,,,,,,"Douglas County issued a shelter-in-place order effective March 26 until April 10. and ""Cherokee County issued a shelter-in-place order effective March 26 through April 9."" and  ""Conyers issued a shelter-in-place order effective March 26 through April 8""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,258773,13.0,57,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770138,,,
120,Georgia,Regional,Cobb,03-25-2020,,,Shelter-in-place order,,,,,,"Cobb County issued a shelter-in-place order effective March 25 until April 15. and ""Floyd County issued a shelter-in-place order effective March 25 through April 7."" and ""Decatur issued a stay-at-home order effective March 25 through April 7"" and ""On Marc",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,760141,13.0,67,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770139,,,
121,Georgia,Regional,DeKalb,03-28-2020,,,Shelter-in-place order,,,,,,"On March 27, Gwinnett County and all 16 cities and towns in the county jointly issued a stay-at-home order effective March 28 through April 13. and  ""Avondale Estates issued a shelter-in-place order."" and ""DeKalb County issued a shelter-in-place order eff",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,759297,13.0,89,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770140,,,
122,Georgia,Regional,Dougherty,03-22-2020,,,Shelter-in-place order,,,,,,Dougherty County imposed a shelter-in-place order effective March 22 through April 7.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,87956,13.0,95,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770141,,,
123,Georgia,Regional,Floyd,03-25-2020,,,Shelter-in-place order,,,,,,"Cobb County issued a shelter-in-place order effective March 25 until April 15. and ""Floyd County issued a shelter-in-place order effective March 25 through April 7."" and ""Decatur issued a stay-at-home order effective March 25 through April 7"" and ""On Marc",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,98498,13.0,115,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770142,,,
124,Georgia,Regional,Fulton,04-01-2020,,,Shelter-in-place order,,,,,,"On March 31, Clayton County issued a shelter-in-place order for unincorporated parts of the county effective April 1 through April 12 at the earliest. and ""On April 1, Fulton County issued a stay-at-home order.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,1063937,13.0,121,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770143,,,
125,Georgia,Regional,Gwinnett,03-28-2020,,,Shelter-in-place order,,,,,,"On March 27, Gwinnett County and all 16 cities and towns in the county jointly issued a stay-at-home order effective March 28 through April 13. and  ""Avondale Estates issued a shelter-in-place order."" and ""DeKalb County issued a shelter-in-place order eff",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,936250,13.0,135,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770144,,,
126,Georgia,Regional,Lowndes,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,117406,13.0,185,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770145,,,
127,Georgia,Regional,Pickens,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,32591,13.0,227,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770146,,,
128,Georgia,Regional,Douglas,03-26-2020,,,Shelter-in-place order,,,,,,"Douglas County issued a shelter-in-place order effective March 26 until April 10. and ""Cherokee County issued a shelter-in-place order effective March 26 through April 9."" and  ""Conyers issued a shelter-in-place order effective March 26 through April 8""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,11616,,97,,https://www.census.gov/quickfacts/douglascitygeorgia,,,
129,Georgia,Regional,Athens-Clarke,03-19-2020,,,Shelter-in-place order,,,,,,Athens-Clarke County imposed a stay-at-home order effective March 19 to April 7.,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,125964,13.0,,3440.0,https://www.census.gov/quickfacts/athensclarkecountybalancegeorgia,,,
130,Georgia,Regional,Atlanta,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,498044,13.0,,4000.0,"https://www.census.gov/quickfacts/fact/table/atlantacitygeorgia,GA/PST045218",,,
131,Georgia,Regional,Avondale Estates,03-28-2020,,,Shelter-in-place order,,,,,,"On March 27, Gwinnett County and all 16 cities and towns in the county jointly issued a stay-at-home order effective March 28 through April 13. and  ""Avondale Estates issued a shelter-in-place order."" and ""DeKalb County issued a shelter-in-place order eff",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,3135,13.0,,4644.0,"https://data.census.gov/cedsci/profile?q=Avondale%20Estates%20city,%20Georgia&g=1600000US1304644&tid=ACSDP5Y2018.DP05",,,
132,Georgia,Regional,Blakely,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,4623,13.0,,8536.0,"https://en.wikipedia.org/wiki/Blakely,_Georgia",,,
133,Georgia,Regional,Brookhaven,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,54145,13.0,,10944.0,https://www.census.gov/quickfacts/brookhavencitygeorgia,,,
134,Georgia,Regional,Canton,03-25-2020,,,Shelter-in-place order,,,,,,"Cobb County issued a shelter-in-place order effective March 25 until April 15. and ""Floyd County issued a shelter-in-place order effective March 25 through April 7."" and ""Decatur issued a stay-at-home order effective March 25 through April 7"" and ""On Marc",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,29306,13.0,,12988.0,https://www.census.gov/quickfacts/cantoncitygeorgia,,,
135,Georgia,Regional,Cartersville,03-27-2020,,,Shelter-in-place order,,,,,,"On March 26, Cartersville and surrounding Bartow County issued shelter-in-place orders effective March 27 through April 7. and  ""Doraville issued a shelter-in-place order.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,21141,13.0,,13688.0,https://www.census.gov/quickfacts/cartersvillecitygeorgia,,,
136,Georgia,Regional,Chamblee,03-28-2020,,,Shelter-in-place order,,,,,,"On March 27, Gwinnett County and all 16 cities and towns in the county jointly issued a stay-at-home order effective March 28 through April 13. and  ""Avondale Estates issued a shelter-in-place order."" and ""DeKalb County issued a shelter-in-place order eff",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,29691,13.0,,15172.0,https://www.census.gov/quickfacts/fact/table/chambleecitygeorgia/RHI225218,,,
137,Georgia,Regional,Conyers,03-26-2020,,,Shelter-in-place order,,,,,,"Douglas County issued a shelter-in-place order effective March 26 until April 10. and ""Cherokee County issued a shelter-in-place order effective March 26 through April 9."" and  ""Conyers issued a shelter-in-place order effective March 26 through April 8""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,16021,13.0,,19336.0,https://www.census.gov/quickfacts/conyerscitygeorgia,,,
138,Georgia,Regional,Doraville,03-27-2020,,,Shelter-in-place order,,,,,,"On March 26, Cartersville and surrounding Bartow County issued shelter-in-place orders effective March 27 through April 7. and  ""Doraville issued a shelter-in-place order.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,10526,13.0,,23536.0,https://www.census.gov/quickfacts/doravillecitygeorgia,,,
139,Georgia,Regional,Dunwoody,03-28-2020,,,Shelter-in-place order,,,,,,"On March 27, Gwinnett County and all 16 cities and towns in the county jointly issued a stay-at-home order effective March 28 through April 13. and  ""Avondale Estates issued a shelter-in-place order."" and ""DeKalb County issued a shelter-in-place order eff",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,49459,13.0,,24768.0,https://www.census.gov/quickfacts/dunwoodycitygeorgia,,,
140,Georgia,Regional,Forest Park,03-30-2020,,,Shelter-in-place order,,,,,,Forest Park issued a shelter-in-place order effective March 30 through April 13,https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,20063,13.0,,30536.0,https://www.census.gov/quickfacts/forestparkcitygeorgia,,,
141,Georgia,Regional,Rome,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,36634,13.0,,66668.0,https://www.census.gov/quickfacts/romecitygeorgia,,,
142,Georgia,Regional,Sandy Springs,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,108797,13.0,,68516.0,https://www.census.gov/quickfacts/fact/table/sandyspringscitygeorgia/LND110210,,,
143,Georgia,Regional,Savannah,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,145862,13.0,,69000.0,https://www.census.gov/quickfacts/savannahcitygeorgia,,,
144,Georgia,Regional,Tifton,03-24-2020,,,Shelter-in-place order,,,,,,"On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days. and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issu",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,16715,13.0,,76476.0,https://www.census.gov/quickfacts/tiftoncitygeorgia,,,
145,Georgia,Regional,Clayton County,04-01-2020,,,Shelter-in-place order,,,,,,"On March 31, Clayton County issued a shelter-in-place order for unincorporated parts of the county effective April 1 through April 12 at the earliest. and ""On April 1, Fulton County issued a stay-at-home order.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11 11:51:30,292256,,,,https://www.census.gov/quickfacts/claytoncountygeorgia,,,
146,Georgia,Regional,City of Decatur,03-25-2020,,,Shelter-in-place order,,,,,,"Cobb County issued a shelter-in-place order effective March 25 until April 15. and ""Floyd County issued a shelter-in-place order effective March 25 through April 7."" and ""Decatur issued a stay-at-home order effective March 25 through April 7"" and ""On Marc",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,2020-04-11 11:43:47,25723,,,,https://www.census.gov/quickfacts/decaturcitygeorgia,,,
147,Hawaii,State-wide,Hawaii,03-21-2020,,Travel restrictions for out of state travelers,,,,,,,"On March 21, Ige ordered a 14-day mandatory quarantine for travelers.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,1415872,15.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769935,,,
148,Hawaii,State-wide,Hawaii,03-25-2020,,,Shelter-in-place order,,,,,,"On March 23, Governor David Ige issued a stay-at-home order effective March 25 through April 30.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/11/20,1415872,15.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769936,,,
