,State,Coverage.type,Coverage.location,Effective Date,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any),Reference links,Timestamp,population_size,population_reference,Coverage.county.FIPS,Coverage.city.FIPS,population_reference.1,Unnamed: 0.1,Face Covering Requirements,Details (if any) 
14,Arizona,State-wide,Arizona,03-12-2020,State of Emergency declared,,,,,,,,Arizona Governor Doug Ducey declared a public health emergency on March 12.,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,7278717,4.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769912,,,
15,Arizona,Regional,Coconino,03-20-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Governor Ducey announced March 19 that he would limit restaurant service and close bars, theaters and gyms in counties with confirmed cases of COVID-19. This directive, to take effect upon close of business March 20, would apply to six counties: Maricopa,",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,143476,4.0,5,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770089,,,
16,Arizona,Regional,Graham,03-20-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Governor Ducey announced March 19 that he would limit restaurant service and close bars, theaters and gyms in counties with confirmed cases of COVID-19. This directive, to take effect upon close of business March 20, would apply to six counties: Maricopa,",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,38837,4.0,9,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770090,,,
17,Arizona,Regional,Maricopa,03-20-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Governor Ducey announced March 19 that he would limit restaurant service and close bars, theaters and gyms in counties with confirmed cases of COVID-19. This directive, to take effect upon close of business March 20, would apply to six counties: Maricopa,",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,4485414,4.0,13,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770091,,,
18,Arizona,Regional,Navajo,03-20-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Governor Ducey announced March 19 that he would limit restaurant service and close bars, theaters and gyms in counties with confirmed cases of COVID-19. This directive, to take effect upon close of business March 20, would apply to six counties: Maricopa,",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,110924,4.0,17,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770092,,,
19,Arizona,Regional,Pinal,03-20-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Some (cherry-picked) businesses closed,"Governor Ducey announced March 19 that he would limit restaurant service and close bars, theaters and gyms in counties with confirmed cases of COVID-19. This directive, to take effect upon close of business March 20, would apply to six counties: Maricopa,",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,447138,4.0,21,,https://censusreporter.org/profiles/05000US04021-pinal-county-az/,,,
20,Arizona,Regional,Phoenix,03-17-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Tucson mayor Regina Romero declared a local emergency on March 17,[18] ordering many businesses to close, limiting restaurants to drive-thru and takeout. The emergency proclamation was released on the afternoon of St. Patrick's Day, one of the busiest dri",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,1660272,4.0,,55000.0,https://www.census.gov/quickfacts/phoenixcityarizona,,,
21,Arizona,Regional,Tucson,03-17-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),Non-essential businesses closed,"Tucson mayor Regina Romero declared a local emergency on March 17,[18] ordering many businesses to close, limiting restaurants to drive-thru and takeout. The emergency proclamation was released on the afternoon of St. Patrick's Day, one of the busiest dri",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona,4/10/20,545975,4.0,,77000.0,https://www.census.gov/quickfacts/tucsoncityarizona,,,
22,Arkansas,State-wide,Arkansas,03-11-2020,State of Emergency declared,,,,,,,,"On March 11, Governor Asa Hutchinson declared a public health emergency in response to the first presumptive case in the state",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,3017804,5.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769913,,,
23,Arkansas,State-wide,Arkansas,03-17-2020,,,,,,Schools closed,,,"On March 15, Hutchinson reported during a press conference that all public schools in the state would be closing starting on March 17.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,3017804,5.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769914,,,
24,Arkansas,State-wide,Arkansas,03-19-2020,,,,,,,Bar and dine-in restaurant closed (except take-out and delivery),,"On March 19, Hutchinson extended public school closures until April 17 and ordered restaurants and bars to offer take-out services only.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,3017804,5.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769915,,,
25,Arkansas,Regional,Grant,03-12-2020,,,,,,Schools closed,,,"On March 12, the governor ordered school closings in Saline, Jefferson, Pulaski, and Grant counties until March 30.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,18265,5.0,53,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770094,,,
26,Arkansas,Regional,Jefferson,03-12-2020,,,,,,Schools closed,,,"On March 12, the governor ordered school closings in Saline, Jefferson, Pulaski, and Grant counties until March 30.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,66824,5.0,69,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770095,,,
27,Arkansas,Regional,Pulaski,03-12-2020,,,,,,Schools closed,,,"On March 12, the governor ordered school closings in Saline, Jefferson, Pulaski, and Grant counties until March 30.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,391911,5.0,119,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770096,,,
28,Arkansas,Regional,Saline,03-12-2020,,,,,,Schools closed,,,"On March 12, the governor ordered school closings in Saline, Jefferson, Pulaski, and Grant counties until March 30.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,122437,5.0,125,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770097,,,
29,California,State-wide,California,03-12-2020,,,,Banned gatherings of a certain size,250.0,,,,"On March 12, Governor Newsom announced that mass gatherings over 250 people were banned until the end of March. He also issued an order to permit the state to commandeer hotels and medical facilities to treat coronavirus patients. In Santa Clara County, a",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,39512223,6.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769916,,,
30,California,State-wide,California,03-19-2020,,,Shelter-in-place order,,,,,,"On March 19, Governor Newsom announced a statewide stay at home order with all residents except those working in essential occupations urged to stay at home.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,4/10/20,39512223,6.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769917,,,
31,California,State-wide,California,03-04-2020,State of Emergency declared,,,,,,,,"On March 4, when 53 cases had been confirmed within the state and there had been one fatality, Governor Gavin Newsom declared a state of emergency",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#Arkansas,4/10/20,39512223,6.0,,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70769918,,,
32,California,Regional,Alameda,03-17-2020,,,Shelter-in-place order,,,,,,"On March 16, the health officers of Alameda, Contra Costa, Marin, San Francisco, San Mateo, and Santa Clara counties announced, with the City of Berkeley, a legal order directing their respective residents to shelter in place for three weeks beginning mid",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,1671329,6.0,1,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770098,,,
33,California,Regional,Contra Costa,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,1153526,6.0,13,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770099,,,
34,California,Regional,Contra Costa,03-17-2020,,,Shelter-in-place order,,,,,,"On March 16, the health officers of Alameda, Contra Costa, Marin, San Francisco, San Mateo, and Santa Clara counties announced, with the City of Berkeley, a legal order directing their respective residents to shelter in place for three weeks beginning mid",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,1153526,6.0,13,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770100,,,
35,California,Regional,Marin,03-13-2020,,,,,,Schools closed,,,"On March 13, schools were closed in Marin, Sacramento, San Joaquin, San Luis Obispo, Santa Clara, Solano, Placer, and Contra Costa counties, as well as the Oakland, Antioch, Santa Cruz, Los Angeles Unified, Chaffey Unified, Etiwanda, Fontana Unified, Onta",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,258826,6.0,41,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770101,,,
36,California,Regional,Marin,03-17-2020,,,Shelter-in-place order,,,,,,"On March 16, the health officers of Alameda, Contra Costa, Marin, San Francisco, San Mateo, and Santa Clara counties announced, with the City of Berkeley, a legal order directing their respective residents to shelter in place for three weeks beginning mid",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_California#Government_response,4/10/20,258826,6.0,41,,https://www.census.gov/data/datasets/time-series/demo/popest/2010s-counties-total.html#par_textimage_70770102,,,
