"","State","X","Timestamp","Effective.Date","Coverage","State.of.Emergency.Declaration","Travel.Restrictions","Shelter.in.place.Order","Gathering.Limitations","Banning.Gatherings.of.a.Certain.Size","K.12.School.Closure","Bar.and.Dine.in.Restaurant.Closure","Non.essential.Businesses.Closure","Details..if.any.","Reference.links","Unnamed..0","Face.Covering.Requirements","state_pop_2019","population_reference","population_reference_URL"
"11","Alaska",23,"4/10/2020 15:14:26","03-11-2020","State-wide","State of Emergency declared","","","",NA,"","","","See table.","https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"12","Alaska",87,"4/10/2020 15:10:26","03-16-2020","State-wide","","","","",NA,"Schools closed","","","""On March 13, Governor Mike Dunleavy ordered public schools to close from March 16 to 30, which was later extended to May 1.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"13","Alaska",155,"4/10/2020 15:13:19","03-22-2020","Anchorage","","","Shelter-in-place order","",NA,"","","","""Mayor of Anchorage Ethan Berkowitz issued an ""emergency hunker down order"" effective March 22""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"14","Alaska",129,"4/10/2020 15:12:22","03-18-2020","State-wide","","","","",NA,"","Bar and dine-in restaurant closed (except take-out and delivery)","Some (cherry-picked) businesses closed","""Effective March 18, restaurants were restricted to take-out and delivery, and entertainment venues such as movie theaters and gyms were closed.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"15","Alaska",205,"4/10/2020 15:14:01","03-25-2020","State-wide","","Travel restrictions for out of state travelers","","",NA,"","","","""Mike Dunleavy ordered everyone arriving in Alaska to self-quarantine for 14 days upon arrival, effective March 25, with limited exceptions""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Alaska",NA,"",731545,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"16","Arizona",145,"4/10/2020 15:23:13","03-20-2020","Maricopa, Pinal, Navajo, Coconino, and Graham","","","","",NA,"","Bar and dine-in restaurant closed (except take-out and delivery)","Some (cherry-picked) businesses closed","""Governor Ducey announced March 19 that he would limit restaurant service and close bars, theaters and gyms in counties with confirmed cases of COVID-19. This directive, to take effect upon close of business March 20, would apply to six counties: Maricopa, which had 22 cases as of March 19; Pinal, which had 10; Pima, which had seven; Navajo, which had three; Coconino, which had one; and Graham, which had one.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona",NA,"",7278717,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"17","Arizona",28,"4/10/2020 15:16:43","03-12-2020","State-wide","State of Emergency declared","","","",NA,"","","","""Arizona Governor Doug Ducey declared a public health emergency on March 12.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona",NA,"",7278717,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"18","Arizona",274,"4/10/2020 15:23:56","03-31-2020","State-wide","","","Shelter-in-place order","",NA,"","","","""On March 30, Gov. Ducey issued a statewide stay at home order to stop the spread of new coronavirus, barring Arizonans from leaving their residences except for food, medicine, and other essentials. The order took effect at the close of business March 31.""","https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Arizona",NA,"",7278717,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"19","Arizona",3,"5/8/2020 16:25:02","05-08-2020","State-wide","","","","",NA,"","","Some (cherry-picked) businesses closed; others allowed to operate possibly with extra requirements","""Barbershops and salons can resume hair, nail, waxing and other services by appointment Friday if they limit occupancy, implement social distancing measures, up sanitation protocols and provide cloth masks to employees, the governor said.""","https://www.azcentral.com/story/news/local/arizona-health/2020/05/04/arizona-salons-can-reopen-may-8-dine-restaurants-may-11/3080788001/",3,"",7278717,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
"20","Arizona",4,"5/8/2020 16:25:36","05-11-2020","State-wide","","","","",NA,"","Bar and dine-in restaurant open with extra requirements","","""On Monday, restaurants and coffee shops can start offering dine-in service. They must also limit occupancy and physically distance diners, in addition to checking employees for COVID-19 symptoms before their shifts.""","https://www.azcentral.com/story/news/local/arizona-health/2020/05/04/arizona-salons-can-reopen-may-8-dine-restaurants-may-11/3080788001/",4,"",7278717,"NST-EST2019-01: Table 1. Annual Estimates of the Resident Population for the United States, Regions, States, and Puerto Rico: April 1, 2010 to July 1, 2019","https://www.census.gov/newsroom/press-kits/2019/national-state-estimates.html"
