,dateBefore,population_size,state_population_size,severityScore,severityMax,pctStateAffected,interventionFootprint,State
0,2020-03-13,5148714,25743570,0.5,0.5,1.0,0.09999999999999999,South Carolina
1,2020-03-15,5148714,25743570,2.0,2.0,1.0,0.39999999999999997,South Carolina
2,2020-03-17,5148714,25743570,3.0,3.0,1.0,0.6,South Carolina
3,2020-03-23,5148714,25743570,3.0,3.0,1.0,0.6,South Carolina
4,2020-03-25,5148714,25743570,3.4000000000000004,3.4000000000000004,1.0,0.6105819045299467,South Carolina
5,2020-03-26,5148714,25743570,3.8000000000000003,3.8000000000000003,1.0,0.6209496196525968,South Carolina
6,2020-03-27,5148714,25743570,4.2,4.2,1.0,0.623308888394267,South Carolina
7,2020-04-01,5148714,25743570,4.6,4.6,1.0,0.8116544441971335,South Carolina
8,2020-04-02,5148714,25743570,4.8,4.8,1.0,0.815124747655434,South Carolina
9,2020-04-07,5148714,25743570,5.0,5.0,1.0,1.0,South Carolina
0,2020-03-14,2976149,20833043,0.7,0.7,1.0,0.1,Mississippi
1,2020-03-21,2976149,20833043,1.6000000000000005,1.6000000000000005,1.0,0.10721324772382029,Mississippi
2,2020-03-22,2976149,20833043,3.4000000000000004,3.4000000000000004,1.0,0.12618427370403834,Mississippi
3,2020-03-24,2976149,20833043,4.8999999999999995,4.8999999999999995,1.0,0.3213141210335907,Mississippi
4,2020-03-31,2976149,20833043,6.3,6.3,1.0,0.3475275263436071,Mississippi
5,2020-04-01,2976149,20833043,7.0,7.0,1.0,1.0,Mississippi
0,2020-03-14,1792147,1792147,0.4,0.4,1.0,0.4,West Virginia
1,2020-03-16,1792147,1792147,0.4,0.4,1.0,0.4,West Virginia
2,2020-03-23,1792147,1792147,1.0,1.0,1.0,1.0,West Virginia
0,2020-02-29,7614893,60919144,0.7999999999999999,0.7999999999999999,1.0,0.1,Washington
1,2020-03-11,7614893,60919144,1.4000000000000001,1.4000000000000001,1.0,0.20452792967675318,Washington
2,2020-03-12,7614893,60919144,3.1999999999999997,3.1999999999999997,1.0,0.4,Washington
3,2020-03-15,7614893,60919144,4.8,4.8,1.0,0.6,Washington
4,2020-03-21,7614893,60919144,5.199999999999999,5.199999999999999,1.0,0.6058444419376608,Washington
5,2020-03-22,7614893,60919144,5.999999999999999,5.999999999999999,1.0,0.6212689528270456,Washington
6,2020-03-23,7614893,60919144,8.0,8.0,1.0,1.0,Washington
7,2020-03-24,7614893,60919144,8.0,8.0,1.0,1.0,Washington
0,2020-03-13,578759,1736277,0.30000000000000004,0.30000000000000004,1.0,0.1,Wyoming
1,2020-03-15,578759,1736277,1.2000000000000002,1.2000000000000002,1.0,0.4,Wyoming
2,2020-03-28,578759,1736277,2.4,2.4,1.0,0.4351369049984536,Wyoming
0,2020-03-12,5822434,11644868,0.2,0.2,1.0,0.1,Wisconsin
1,2020-03-13,5822434,11644868,0.8,0.8,1.0,0.4,Wisconsin
2,2020-03-16,5822434,11644868,0.8,0.8,1.0,0.4,Wisconsin
3,2020-03-17,5822434,11644868,0.8,0.8,1.0,0.4,Wisconsin
4,2020-03-23,5822434,11644868,1.4,1.4,1.0,0.4610079908162119,Wisconsin
5,2020-03-24,5822434,11644868,2.0,2.0,1.0,1.0,Wisconsin
0,2020-03-13,3205958,12823832,1.6,1.6,1.0,0.4,Utah
1,2020-03-27,3205958,12823832,2.8,2.8,1.0,0.44542841796430277,Utah
2,2020-04-01,3205958,12823832,3.4,3.4,1.0,0.5119572371191388,Utah
0,2020-03-12,7278717,58229736,0.7999999999999999,0.7999999999999999,1.0,0.10000000000000003,Arizona
1,2020-03-17,7278717,58229736,2.2000000000000006,2.2000000000000006,1.0000000000000002,0.31217652781389904,Arizona
2,2020-03-20,7278717,58229736,5.699999999999999,5.699999999999999,1.0,0.8147448101087047,Arizona
3,2020-03-31,7278717,58229736,8.0,8.0,1.0,1.0,Arizona
0,2020-03-15,3956971,142450956,3.600000000000002,3.600000000000002,0.9999999999999998,0.1,Oklahoma
1,2020-03-24,3956971,142450956,11.500000000000005,11.500000000000005,0.9999999999999996,0.32184238903949514,Oklahoma
2,2020-03-25,3956971,142450956,22.599999999999984,22.599999999999984,0.9999999999999998,0.6754734871698583,Oklahoma
3,2020-03-28,3956971,142450956,23.799999999999986,23.799999999999986,0.9999999999999996,0.8346391722355311,Oklahoma
4,2020-03-29,3956971,142450956,27.400000000000023,27.400000000000023,0.9999999999999998,0.8581104587321973,Oklahoma
5,2020-03-30,3956971,142450956,28.20000000000002,28.20000000000002,1.0,0.8726183234600409,Oklahoma
6,2020-04-01,3956971,142450956,29.400000000000016,29.400000000000016,1.0,0.8967531477991629,Oklahoma
7,2020-04-04,3956971,142450956,29.800000000000015,29.800000000000015,1.0,0.9030309800097098,Oklahoma
8,2020-04-06,3956971,142450956,30.600000000000012,30.600000000000012,1.0,0.9060841234368413,Oklahoma
9,2020-04-08,3956971,142450956,31.00000000000001,31.00000000000001,1.0,0.9080524977312195,Oklahoma
0,2020-03-09,11689100,11689100,0.1,0.1,1.0,0.1,Ohio
1,2020-03-12,11689100,11689100,0.3,0.3,1.0,0.3,Ohio
2,2020-03-15,11689100,11689100,0.6,0.6,1.0,0.6,Ohio
3,2020-03-16,11689100,11689100,0.8,0.8,1.0,0.8,Ohio
4,2020-03-18,11689100,11689100,0.8,0.8,1.0,0.8,Ohio
5,2020-03-23,11689100,11689100,1.0,1.0,1.0,1.0,Ohio
0,2020-03-13,623989,1247978,0.2,0.2,1.0,0.10000000000000002,Vermont
1,2020-03-15,623989,1247978,0.8,0.8,1.0,0.4000000000000001,Vermont
2,2020-03-16,623989,1247978,1.2000000000000002,1.2000000000000002,1.0,0.4274998437472456,Vermont
3,2020-03-17,623989,1247978,1.6,1.6,1.0,0.8000000000000002,Vermont
4,2020-03-25,623989,1247978,2.0,2.0,1.0,1.0,Vermont
5,2020-03-30,623989,1247978,2.0,2.0,1.0,1.0,Vermont
0,2020-03-10,6892503,27570012,0.4,0.4,1.0,0.10000000000000002,Massachusetts
1,2020-03-13,6892503,27570012,1.3000000000000003,1.3000000000000003,1.0,0.13463275968106217,Massachusetts
2,2020-03-17,6892503,27570012,2.4,2.4,1.0,0.6,Massachusetts
3,2020-03-24,6892503,27570012,4.0,4.0,1.0,1.0,Massachusetts
4,2020-03-27,6892503,27570012,4.0,4.0,1.0,1.0,Massachusetts
0,2020-03-13,1934408,110261256,5.699999999999996,5.699999999999996,0.9999999999999999,0.10000000000000002,Nebraska
1,2020-03-19,1934408,110261256,7.19999999999999,7.19999999999999,1.0,0.3028452632536673,Nebraska
2,2020-03-25,1934408,110261256,9.199999999999983,9.199999999999983,1.0,0.4057092919384123,Nebraska
3,2020-03-29,1934408,110261256,11.199999999999983,11.199999999999983,1.0000000000000002,0.4202677511672823,Nebraska
4,2020-03-30,1934408,110261256,17.200000000000003,17.200000000000003,1.0,0.4418725522226957,Nebraska
5,2020-03-31,1934408,110261256,22.70000000000004,22.70000000000004,1.0000000000000002,0.4786623607842815,Nebraska
6,2020-04-01,1934408,110261256,30.20000000000004,30.20000000000004,0.9999999999999999,0.5000110111207149,Nebraska
7,2020-04-03,1934408,110261256,34.20000000000004,34.20000000000004,0.9999999999999999,0.6000000000000001,Nebraska
8,2020-04-28,1934408,110261256,34.20000000000004,34.20000000000004,0.9999999999999998,0.6,Nebraska
0,2020-03-13,5639632,11279264,0.2,0.2,1.0,0.1,Minnesota
1,2020-03-14,5639632,11279264,0.4,0.4,1.0,0.1109118821937318,Minnesota
2,2020-03-17,5639632,11279264,1.6,1.6,1.0,0.8,Minnesota
3,2020-03-18,5639632,11279264,1.6,1.6,1.0,0.8,Minnesota
4,2020-03-27,5639632,11279264,2.0,2.0,1.0,1.0,Minnesota
0,2020-03-12,9986857,9986857,0.4,0.4,1.0,0.4,Michigan
1,2020-03-13,9986857,9986857,0.4,0.4,1.0,0.4,Michigan
2,2020-03-16,9986857,9986857,0.6,0.6,1.0,0.6,Michigan
3,2020-03-17,9986857,9986857,0.6,0.6,1.0,0.6,Michigan
4,2020-03-22,9986857,9986857,0.8,0.8,1.0,0.8,Michigan
5,2020-03-24,9986857,9986857,1.0,1.0,1.0,1.0,Michigan
0,2020-03-13,884659,884659,0.1,0.1,1.0,0.1,South Dakota
1,2020-03-16,884659,884659,0.4,0.4,1.0,0.4,South Dakota
0,2020-03-15,694144,6829174,0.8,0.8,0.1016439176978065,0.0813151341582452,Tennessee
1,2020-03-19,874701,13658348,1.6,1.6,0.1280829863172325,0.10246638905378602,Tennessee
2,2020-03-20,1062201,20487522,2.4000000000000004,2.4000000000000004,0.155538722545362,0.12443097803628961,Tennessee
3,2020-03-22,1731254,27316696,3.6,3.6,0.2535085502287685,0.24272958925925742,Tennessee
4,2020-03-24,3789351,47804218,6.8,6.8,0.5548769148362598,0.5495891011123746,Tennessee
5,2020-03-25,3870265,54633392,7.8,7.8,0.5667251998557952,0.56143738613191,Tennessee
6,2020-03-30,6829174,61462566,8.6,8.6,1.0,0.9080572262472739,Tennessee
7,2020-04-02,6829174,61462566,9.0,9.0,1.0,1.0,Tennessee
0,2020-03-10,5758736,74863568,1.3,1.3,1.0,0.09999999999999999,Colorado
1,2020-03-18,5758736,74863568,10.600000000000001,10.600000000000001,1.0,0.8002840553899327,Colorado
2,2020-03-23,5758736,74863568,11.200000000000001,11.200000000000001,1.0,0.8295131084321282,Colorado
3,2020-03-25,5758736,74863568,12.8,12.8,1.0,0.940165793326869,Colorado
4,2020-03-26,5758736,74863568,13.0,13.0,1.0,1.0,Colorado
0,2020-03-12,1068778,1068778,0.1,0.1,1.0,0.1,Montana
1,2020-03-16,1068778,1068778,0.4,0.4,1.0,0.4,Montana
2,2020-03-20,1068778,1068778,0.8,0.8,1.0,0.8,Montana
3,2020-03-28,1068778,1068778,1.0,1.0,1.0,1.0,Montana
0,2020-03-11,731545,1463090,0.2,0.2,1.0,0.1,Alaska
1,2020-03-16,731545,1463090,0.8,0.8,1.0,0.4,Alaska
2,2020-03-18,731545,1463090,1.6,1.6,1.0,0.8,Alaska
3,2020-03-22,731545,1463090,1.8,1.8,1.0,0.878737466594673,Alaska
4,2020-03-25,731545,1463090,1.8,1.8,1.0,0.878737466594673,Alaska
0,2020-03-10,10488084,230737848,2.2000000000000006,2.2000000000000006,1.0,0.1,North Carolina
1,2020-03-14,10488084,230737848,8.800000000000002,8.800000000000002,1.0,0.4,North Carolina
2,2020-03-17,10488084,230737848,13.199999999999996,13.199999999999996,1.0,0.5999999999999999,North Carolina
3,2020-03-23,10488084,230737848,17.600000000000005,17.600000000000005,1.0,0.8,North Carolina
4,2020-03-25,10488084,230737848,18.400000000000006,18.400000000000006,1.0,0.8099881351064694,North Carolina
5,2020-03-26,10488084,230737848,19.60000000000001,19.60000000000001,1.0,0.8383260851076326,North Carolina
6,2020-03-27,10488084,230737848,21.400000000000002,21.400000000000002,1.0,0.8779918429333708,North Carolina
7,2020-03-28,10488084,230737848,21.8,21.8,0.9999999999999999,0.8815090916510584,North Carolina
8,2020-03-30,10488084,230737848,22.0,22.0,0.9999999999999999,0.9999999999999999,North Carolina
0,2020-03-13,28995881,927868192,3.2000000000000015,3.2000000000000015,0.9999999999999999,0.10000000000000002,Texas
1,2020-03-19,28995881,927868192,12.800000000000006,12.800000000000006,0.9999999999999999,0.4000000000000001,Texas
2,2020-03-23,28995881,927868192,31.4,31.4,1.0,0.7786324271368061,Texas
3,2020-03-24,28995881,927868192,31.4,31.4,1.0,0.7786324271368061,Texas
4,2020-03-30,28995881,927868192,32.0,32.0,1.0,1.0,Texas
0,2020-03-13,762062,762062,0.1,0.1,1.0,0.1,North Dakota
1,2020-03-19,762062,762062,0.8,0.8,1.0,0.8,North Dakota
2,2020-04-08,762062,762062,0.8,0.8,1.0,0.8,North Dakota
0,2020-03-05,6045680,6045680,0.1,0.1,1.0,0.1,Maryland
1,2020-03-12,6045680,6045680,0.3,0.3,1.0,0.3,Maryland
2,2020-03-15,6045680,6045680,0.8,0.8,1.0,0.8,Maryland
3,2020-03-16,6045680,6045680,0.8,0.8,1.0,0.8,Maryland
4,2020-03-23,6045680,6045680,0.8,0.8,1.0,0.8,Maryland
5,2020-03-30,6045680,6045680,1.0,1.0,1.0,1.0,Maryland
0,2020-03-12,2913314,55352966,1.9000000000000006,1.9000000000000006,0.9999999999999999,0.1,Kansas
1,2020-03-15,2913314,55352966,7.600000000000002,7.600000000000002,0.9999999999999999,0.4,Kansas
2,2020-03-16,2913314,55352966,7.600000000000002,7.600000000000002,0.9999999999999999,0.4,Kansas
3,2020-03-17,2913314,55352966,8.200000000000003,8.200000000000003,0.9999999999999999,0.4527598466900581,Kansas
4,2020-03-22,2913314,55352966,9.800000000000004,9.800000000000004,0.9999999999999999,0.5863783306571141,Kansas
5,2020-03-24,2913314,55352966,10.400000000000004,10.400000000000004,0.9999999999999999,0.6115576968359744,Kansas
6,2020-03-25,2913314,55352966,12.800000000000002,12.800000000000002,1.0,0.7293559156342226,Kansas
7,2020-03-26,2913314,55352966,15.200000000000001,15.200000000000001,1.0,0.7758697483347142,Kansas
8,2020-03-27,2913314,55352966,15.8,15.8,0.9999999999999999,0.7805728459067577,Kansas
9,2020-03-28,2913314,55352966,17.599999999999998,17.599999999999998,1.0,0.7883248424303045,Kansas
10,2020-03-30,2913314,55352966,19.0,19.0,1.0,1.0,Kansas
0,2020-03-15,1344212,5376848,0.4,0.4,1.0,0.1,Maine
1,2020-03-23,1344212,5376848,1.3000000000000003,1.3000000000000003,1.0,0.2975154960675846,Maine
2,2020-03-25,1344212,5376848,2.2,2.2,1.0,0.3419841513094661,Maine
3,2020-03-26,1344212,5376848,3.1,3.1,1.0,0.35912832202063366,Maine
4,2020-03-31,1344212,5376848,4.0,4.0,1.0,1.0,Maine
0,2020-03-01,21477737,644332110,3.0000000000000013,3.0000000000000013,1.0,0.1,Florida
1,2020-03-17,21477737,644332110,24.00000000000001,24.00000000000001,1.0,0.8,Florida
2,2020-03-24,21477737,644332110,24.400000000000013,24.400000000000013,1.0,0.8033593948934192,Florida
3,2020-03-25,21477737,644332110,24.80000000000001,24.80000000000001,1.0,0.8066689241981128,Florida
4,2020-03-26,21477737,644332110,26.000000000000014,26.000000000000014,1.0,0.8213083715477101,Florida
5,2020-03-27,21477737,644332110,26.600000000000012,26.600000000000012,0.9999999999999998,0.8544427096765363,Florida
6,2020-03-28,21477737,644332110,28.800000000000004,28.800000000000004,1.0,0.8637971402666865,Florida
7,2020-03-30,21477737,644332110,29.6,29.6,1.0000000000000002,0.9043721412549192,Florida
